t_unix_ms,l,r,v_cell_1,v_bat,v_q,i_esc_1,i_esc_2,i_sys,temp_c,uptime_ms
1780142397652,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,340593
1780142397685,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,340626
1780142397721,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.571,340659
1780142397751,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,340692
1780142397785,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,340725
1780142397818,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,340758
1780142397851,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,340791
1780142397884,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,340824
1780142397918,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,340857
1780142397952,0,0,3.310,6.673,6.665,0.157,0.157,0.011,22.571,340890
1780142397996,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,340923
1780142398028,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,340956
1780142398060,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,340989
1780142398094,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341022
1780142398140,0,0,3.310,6.673,6.673,0.188,0.157,0.016,22.571,341055
1780142398158,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341088
1780142398192,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341121
1780142398226,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341154
1780142398258,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341187
1780142398291,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,341220
1780142398324,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341253
1780142398358,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341286
1780142398392,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341319
1780142398422,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341352
1780142398461,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341385
1780142398489,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341418
1780142398523,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,341451
1780142398558,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341484
1780142398588,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341517
1780142398622,0,0,3.316,6.673,6.665,0.188,0.157,0.016,22.571,341550
1780142398653,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,341583
1780142398690,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341616
1780142398721,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,341649
1780142398753,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341682
1780142398788,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341715
1780142398821,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341748
1780142398869,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,341781
1780142398901,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341814
1780142398919,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341847
1780142398954,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341880
1780142398984,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341913
1780142399017,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,341946
1780142399052,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,341979
1780142399084,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342012
1780142399123,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,342045
1780142399149,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342078
1780142399182,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342111
1780142399215,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342144
1780142399252,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,342177
1780142399281,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342210
1780142399318,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,342243
1780142399348,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342276
1780142399384,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342309
1780142399415,0,0,3.316,6.673,6.673,0.188,0.157,0.016,22.571,342342
1780142399448,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,342375
1780142399488,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,342408
1780142399515,0,0,3.310,6.673,6.665,0.188,0.157,0.011,22.571,342441
1780142399548,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.571,342474
1780142399580,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,342507
1780142399623,0,0,3.316,6.673,6.673,0.157,0.157,0.011,22.571,342540
1780142399647,0,0,3.316,6.673,6.665,0.188,0.157,0.011,22.571,342573
1780142399699,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342606
1780142399721,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342639
1780142399757,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342672
1780142399785,0,0,3.316,6.673,6.673,0.188,0.157,0.011,22.571,342705
1780142399814,0,0,3.310,6.673,6.673,0.188,0.157,0.016,22.571,342738
1780142399847,0,0,3.310,6.673,6.673,0.188,0.157,0.011,22.571,342771
